Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
09/01/2018 00:00;09/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;13.0;13.0958333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
10/01/2018 00:00;10/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;12.0;12.35;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
10/01/2018 00:00;10/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;11.0;11.1666666667;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
11/01/2018 00:00;11/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;15.0;14.8291666667;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
11/01/2018 00:00;11/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;20.0;20.3791666667;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
12/01/2018 00:00;12/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;14.0;13.5333333333;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
12/01/2018 00:00;12/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;18.0;18.3125;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
13/01/2018 00:00;13/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;23.0;23.075;µg-m3;100.0;100;100.0;R;1;45.757732;4.854214
13/01/2018 00:00;13/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;13.0;13.4166666667;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
14/01/2018 00:00;14/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;24.0;23.8833333333;µg-m3;100.0;100;100.0;R;1;45.757732;4.854214
